text,intent
Safety tips for harassment situations?,SAFETY_ADVICE
Precautions against sexual harassment? please,SAFETY_ADVICE
What is the punishment for rape under Indian law? I am scared,CHECK_IPC
A neighbor verbally abuses me daily,REPORT_INCIDENT
There is violence happening now,EMERGENCY
Someone touched me inappropriately at office please,REPORT_INCIDENT
Danger situation happening,EMERGENCY
Emergency assistance needed I am scared,EMERGENCY
How to remain safe in public transport? right now,SAFETY_ADVICE
What section covers verbal abuse? immediately,CHECK_IPC
How do I file an FIR? can you help?,HOW_TO_COMPLAIN
What can you do? I am scared,GENERAL
Recent crime statistics here? urgently,AREA_SAFETY
Under which section can I file for threats? can you help?,CHECK_IPC
Can I register a complaint online?,HOW_TO_COMPLAIN
Crime rate in this locality? urgently,AREA_SAFETY
How does this system function? immediately,GENERAL
How do I file an FIR? I am scared,HOW_TO_COMPLAIN
Are there harassment cases reported here?,AREA_SAFETY
Crime rate in this locality? immediately,AREA_SAFETY
Can I file complaint without visiting police station? can you help?,HOW_TO_COMPLAIN
Can I file complaint without visiting police station? please,HOW_TO_COMPLAIN
Safety tips for harassment situations?,SAFETY_ADVICE
Advice for handling domestic abuse? can you help?,SAFETY_ADVICE
Can I register a complaint online? can you help?,HOW_TO_COMPLAIN
Is sexual harassment punishable under IPC? right now,CHECK_IPC
How to approach police legally? I am scared,HOW_TO_COMPLAIN
How does this system function? please,GENERAL
Do I need proof to file FIR? please,HOW_TO_COMPLAIN
Precautions against sexual harassment? I am scared,SAFETY_ADVICE
Safety tips for harassment situations? immediately,SAFETY_ADVICE
How to protect myself at night? immediately,SAFETY_ADVICE
Advice for handling domestic abuse? please,SAFETY_ADVICE
Is it risky to walk alone here? urgently,AREA_SAFETY
How to remain safe in public transport? please,SAFETY_ADVICE
How to stay safe while traveling alone? can you help?,SAFETY_ADVICE
Hello please,GENERAL
Hello can you help?,GENERAL
Procedure to report domestic violence? urgently,HOW_TO_COMPLAIN
A stranger keeps sending me threatening messages immediately,REPORT_INCIDENT
How to stay safe while traveling alone? please,SAFETY_ADVICE
Guidance for handling blackmail? right now,SAFETY_ADVICE
Guidance for handling blackmail? please,SAFETY_ADVICE
Steps to report harassment? please,HOW_TO_COMPLAIN
How to remain safe in public transport? immediately,SAFETY_ADVICE
Can I file complaint without visiting police station? right now,HOW_TO_COMPLAIN
There is violence happening now urgently,EMERGENCY
What is the punishment for rape under Indian law? immediately,CHECK_IPC
Crime rate in this locality? can you help?,AREA_SAFETY
Someone touched me inappropriately at bus stop I am scared,REPORT_INCIDENT
Is there a law against hidden camera recording? immediately,CHECK_IPC
Someone installed a hidden camera in park immediately,REPORT_INCIDENT
Are there harassment cases reported here? urgently,AREA_SAFETY
I am in immediate danger I am scared,EMERGENCY
Safety tips for harassment situations? I am scared,SAFETY_ADVICE
Someone is attacking me can you help?,EMERGENCY
How to stay safe while traveling alone?,SAFETY_ADVICE
Procedure to report domestic violence? please,HOW_TO_COMPLAIN
Is this area safe at night? I am scared,AREA_SAFETY
Precautions against sexual harassment? immediately,SAFETY_ADVICE
What can you do? immediately,GENERAL
There is domestic violence happening in my house can you help?,REPORT_INCIDENT
How to remain safe in public transport? immediately,SAFETY_ADVICE
What is the punishment for rape under Indian law? urgently,CHECK_IPC
What can you do? immediately,GENERAL
Give me details about this app,GENERAL
I feel unsafe and threatened right now,EMERGENCY
Someone touched me inappropriately at mall can you help?,REPORT_INCIDENT
Tell me about SafetyNet please,GENERAL
A stranger keeps sending me threatening messages immediately,REPORT_INCIDENT
Someone touched me inappropriately at street can you help?,REPORT_INCIDENT
A neighbor verbally abuses me daily can you help?,REPORT_INCIDENT
What is the punishment for rape under Indian law? I am scared,CHECK_IPC
Are there harassment cases reported here? please,AREA_SAFETY
What documents are required to file FIR? can you help?,HOW_TO_COMPLAIN
There is violence happening now please,EMERGENCY
Emergency assistance needed I am scared,EMERGENCY
Procedure to report domestic violence? I am scared,HOW_TO_COMPLAIN
How to stay safe while traveling alone? right now,SAFETY_ADVICE
Please send help urgently,EMERGENCY
Under which section can I file for threats?,CHECK_IPC
How do I file an FIR? immediately,HOW_TO_COMPLAIN
Emergency assistance needed immediately,EMERGENCY
Which IPC section applies for stalking?,CHECK_IPC
What should I do if someone stalks me? please,SAFETY_ADVICE
A man has been following me since mall,REPORT_INCIDENT
Emergency assistance needed urgently,EMERGENCY
Guidance for handling blackmail? please,SAFETY_ADVICE
Call police immediately I am scared,EMERGENCY
Danger situation happening right now,EMERGENCY
What section covers verbal abuse? can you help?,CHECK_IPC
Should I avoid this place after 9 PM?,AREA_SAFETY
Someone installed a hidden camera in mall right now,REPORT_INCIDENT
Safety level of this location? can you help?,AREA_SAFETY
What should I do if someone stalks me? I am scared,SAFETY_ADVICE
Safety tips for harassment situations?,SAFETY_ADVICE
Recent crime statistics here? can you help?,AREA_SAFETY
Hi there please,GENERAL
Under which section can I file for threats? immediately,CHECK_IPC
Is this neighborhood dangerous for women? right now,AREA_SAFETY
What law protects women from domestic violence? right now,CHECK_IPC
Is sexual harassment punishable under IPC? right now,CHECK_IPC
Give me details about this app,GENERAL
A neighbor verbally abuses me daily can you help?,REPORT_INCIDENT
Someone touched me inappropriately at office please,REPORT_INCIDENT
Safety level of this location? right now,AREA_SAFETY
Is there a law against hidden camera recording?,CHECK_IPC
Is there a law against hidden camera recording?,CHECK_IPC
How secure is this area currently? can you help?,AREA_SAFETY
What features does this platform provide? urgently,GENERAL
Are there harassment cases reported here? I am scared,AREA_SAFETY
Guidance for handling blackmail? please,SAFETY_ADVICE
What law protects women from domestic violence? please,CHECK_IPC
I think someone is stalking me on my way to school,REPORT_INCIDENT
How to stay safe while traveling alone?,SAFETY_ADVICE
I think someone is stalking me on my way to street immediately,REPORT_INCIDENT
Give me details about this app please,GENERAL
A neighbor verbally abuses me daily,REPORT_INCIDENT
What can you do?,GENERAL
Help me right now I am scared,EMERGENCY
Explain how this chatbot works right now,GENERAL
I think someone is stalking me on my way to office immediately,REPORT_INCIDENT
I am in immediate danger immediately,EMERGENCY
Someone installed a hidden camera in hostel immediately,REPORT_INCIDENT
I feel unsafe and threatened urgently,EMERGENCY
IPC section for molestation? please,CHECK_IPC
Procedure to report domestic violence? please,HOW_TO_COMPLAIN
Precautions against sexual harassment? right now,SAFETY_ADVICE
Can I register a complaint online?,HOW_TO_COMPLAIN
Is this a high crime zone? immediately,AREA_SAFETY
Someone touched me inappropriately at school please,REPORT_INCIDENT
Someone is attacking me please,EMERGENCY
Can I register a complaint online? please,HOW_TO_COMPLAIN
How can I complain anonymously? please,HOW_TO_COMPLAIN
Are there harassment cases reported here? I am scared,AREA_SAFETY
Can I file complaint without visiting police station? can you help?,HOW_TO_COMPLAIN
How to remain safe in public transport?,SAFETY_ADVICE
How to remain safe in public transport? urgently,SAFETY_ADVICE
Safety tips for harassment situations? please,SAFETY_ADVICE
Can I register a complaint online?,HOW_TO_COMPLAIN
How to remain safe in public transport? please,SAFETY_ADVICE
How can I complain anonymously? immediately,HOW_TO_COMPLAIN
IPC section for molestation? please,CHECK_IPC
Precautions against sexual harassment? immediately,SAFETY_ADVICE
How secure is this area currently? can you help?,AREA_SAFETY
Someone touched me inappropriately at park can you help?,REPORT_INCIDENT
How do I file an FIR?,HOW_TO_COMPLAIN
Steps to report harassment? I am scared,HOW_TO_COMPLAIN
Steps to report harassment? I am scared,HOW_TO_COMPLAIN
Are there harassment cases reported here? I am scared,AREA_SAFETY
Are there harassment cases reported here?,AREA_SAFETY
Someone touched me inappropriately at bus stop immediately,REPORT_INCIDENT
He tried to force himself on me near hostel immediately,REPORT_INCIDENT
Is there a law against hidden camera recording? please,CHECK_IPC
There is domestic violence happening in my house urgently,REPORT_INCIDENT
Hello urgently,GENERAL
Under which section can I file for threats? I am scared,CHECK_IPC
He tried to force himself on me near school can you help?,REPORT_INCIDENT
Is this a high crime zone? I am scared,AREA_SAFETY
Under which section can I file for threats? can you help?,CHECK_IPC
What is the punishment for rape under Indian law? right now,CHECK_IPC
My husband hit me after an argument I am scared,REPORT_INCIDENT
Procedure to report domestic violence? can you help?,HOW_TO_COMPLAIN
Advice for handling domestic abuse? urgently,SAFETY_ADVICE
Is sexual harassment punishable under IPC? right now,CHECK_IPC
Hello can you help?,GENERAL
Should I avoid this place after 9 PM? please,AREA_SAFETY
What features does this platform provide? urgently,GENERAL
Where should I go to report stalking? please,HOW_TO_COMPLAIN
A stranger keeps sending me threatening messages right now,REPORT_INCIDENT
How can I complain anonymously? can you help?,HOW_TO_COMPLAIN
There is domestic violence happening in my house urgently,REPORT_INCIDENT
How to remain safe in public transport? right now,SAFETY_ADVICE
How to remain safe in public transport? urgently,SAFETY_ADVICE
Someone touched me inappropriately at metro station please,REPORT_INCIDENT
Someone is attacking me,EMERGENCY
I think someone is stalking me on my way to park urgently,REPORT_INCIDENT
How to stay safe while traveling alone? right now,SAFETY_ADVICE
I need police support immediately,EMERGENCY
Is this a high crime zone? please,AREA_SAFETY
How do I file an FIR? I am scared,HOW_TO_COMPLAIN
Is this area safe at night? immediately,AREA_SAFETY
Give me details about this app I am scared,GENERAL
Advice for handling domestic abuse? urgently,SAFETY_ADVICE
Crime rate in this locality? I am scared,AREA_SAFETY
Can I file complaint without visiting police station? urgently,HOW_TO_COMPLAIN
Safety tips for harassment situations? I am scared,SAFETY_ADVICE
What documents are required to file FIR? urgently,HOW_TO_COMPLAIN
What to do during a threat situation? urgently,SAFETY_ADVICE
How secure is this area currently? immediately,AREA_SAFETY
Under which section can I file for threats? right now,CHECK_IPC
What to do during a threat situation? I am scared,SAFETY_ADVICE
How to protect myself at night? immediately,SAFETY_ADVICE
Someone is attacking me right now,EMERGENCY
I am in immediate danger urgently,EMERGENCY
Where should I go to report stalking? right now,HOW_TO_COMPLAIN
How can this system help me? immediately,GENERAL
How to stay safe while traveling alone? right now,SAFETY_ADVICE
Safety level of this location? I am scared,AREA_SAFETY
Punishment for criminal intimidation? right now,CHECK_IPC
What can you do? I am scared,GENERAL
There is domestic violence happening in my house immediately,REPORT_INCIDENT
Best way to respond to intimidation? urgently,SAFETY_ADVICE
A stranger keeps sending me threatening messages I am scared,REPORT_INCIDENT
Where should I go to report stalking? can you help?,HOW_TO_COMPLAIN
What is the punishment for rape under Indian law?,CHECK_IPC
A stranger keeps sending me threatening messages right now,REPORT_INCIDENT
Help me right now right now,EMERGENCY
Is this a high crime zone? please,AREA_SAFETY
What to do during a threat situation? right now,SAFETY_ADVICE
Should I avoid this place after 9 PM? please,AREA_SAFETY
What should I do if someone stalks me? can you help?,SAFETY_ADVICE
Hi there can you help?,GENERAL
Should I avoid this place after 9 PM? please,AREA_SAFETY
Give me details about this app right now,GENERAL
A neighbor verbally abuses me daily please,REPORT_INCIDENT
Hi there right now,GENERAL
What section covers verbal abuse? I am scared,CHECK_IPC
I need police support immediately immediately,EMERGENCY
How to approach police legally? immediately,HOW_TO_COMPLAIN
Give me details about this app right now,GENERAL
Give me details about this app right now,GENERAL
What section covers verbal abuse? right now,CHECK_IPC
Where should I go to report stalking? can you help?,HOW_TO_COMPLAIN
Precautions against sexual harassment? can you help?,SAFETY_ADVICE
Give me details about this app right now,GENERAL
Advice for handling domestic abuse? urgently,SAFETY_ADVICE
Crime rate in this locality? I am scared,AREA_SAFETY
Where should I go to report stalking? urgently,HOW_TO_COMPLAIN
Do I need proof to file FIR? immediately,HOW_TO_COMPLAIN
My husband hit me after an argument please,REPORT_INCIDENT
Is there a law against hidden camera recording? I am scared,CHECK_IPC
Under which section can I file for threats?,CHECK_IPC
Is it risky to walk alone here? urgently,AREA_SAFETY
Please send help urgently right now,EMERGENCY
A stranger keeps sending me threatening messages can you help?,REPORT_INCIDENT
Is it risky to walk alone here? can you help?,AREA_SAFETY
I am in immediate danger can you help?,EMERGENCY
How can this system help me? right now,GENERAL
Is this area safe at night? urgently,AREA_SAFETY
Procedure to report domestic violence? can you help?,HOW_TO_COMPLAIN
Who are you? immediately,GENERAL
How to remain safe in public transport? can you help?,SAFETY_ADVICE
Emergency assistance needed right now,EMERGENCY
What law protects women from domestic violence? right now,CHECK_IPC
Is this area safe at night? right now,AREA_SAFETY
Procedure to report domestic violence? I am scared,HOW_TO_COMPLAIN
What section covers verbal abuse? please,CHECK_IPC
I need police support immediately,EMERGENCY
Is this a high crime zone? immediately,AREA_SAFETY
What should I do if someone stalks me?,SAFETY_ADVICE
What to do during a threat situation? please,SAFETY_ADVICE
What features does this platform provide? please,GENERAL
There is domestic violence happening in my house right now,REPORT_INCIDENT
Where should I go to report stalking? right now,HOW_TO_COMPLAIN
Do I need proof to file FIR? can you help?,HOW_TO_COMPLAIN
How secure is this area currently? can you help?,AREA_SAFETY
Who are you? urgently,GENERAL
Hi there right now,GENERAL
A neighbor verbally abuses me daily,REPORT_INCIDENT
Where should I go to report stalking? I am scared,HOW_TO_COMPLAIN
A man has been following me since college please,REPORT_INCIDENT
Which IPC section applies for stalking? immediately,CHECK_IPC
Under which section can I file for threats? please,CHECK_IPC
Crime rate in this locality? immediately,AREA_SAFETY
What section covers verbal abuse? I am scared,CHECK_IPC
Do I need proof to file FIR? please,HOW_TO_COMPLAIN
Danger situation happening I am scared,EMERGENCY
Safety tips for harassment situations? can you help?,SAFETY_ADVICE
What can you do? urgently,GENERAL
I think someone is stalking me on my way to college urgently,REPORT_INCIDENT
There is violence happening now right now,EMERGENCY
Advice for handling domestic abuse?,SAFETY_ADVICE
Emergency assistance needed,EMERGENCY
Precautions against sexual harassment? can you help?,SAFETY_ADVICE
Best way to respond to intimidation? can you help?,SAFETY_ADVICE
I think someone is stalking me on my way to college urgently,REPORT_INCIDENT
There is violence happening now I am scared,EMERGENCY
Can I register a complaint online? immediately,HOW_TO_COMPLAIN
How to stay safe while traveling alone?,SAFETY_ADVICE
Who are you? can you help?,GENERAL
Crime rate in this locality? right now,AREA_SAFETY
How to approach police legally? I am scared,HOW_TO_COMPLAIN
Is there a law against hidden camera recording? please,CHECK_IPC
How to remain safe in public transport? I am scared,SAFETY_ADVICE
Can I file complaint without visiting police station? can you help?,HOW_TO_COMPLAIN
Please send help urgently right now,EMERGENCY
Is this a high crime zone? urgently,AREA_SAFETY
Where should I go to report stalking? can you help?,HOW_TO_COMPLAIN
There is domestic violence happening in my house right now,REPORT_INCIDENT
What section covers verbal abuse? immediately,CHECK_IPC
There is violence happening now urgently,EMERGENCY
I am being blackmailed with my photos can you help?,REPORT_INCIDENT
Steps to report harassment? right now,HOW_TO_COMPLAIN
IPC section for molestation? can you help?,CHECK_IPC
Do I need proof to file FIR? urgently,HOW_TO_COMPLAIN
Someone is attacking me immediately,EMERGENCY
A neighbor verbally abuses me daily please,REPORT_INCIDENT
A stranger keeps sending me threatening messages I am scared,REPORT_INCIDENT
Safety level of this location? immediately,AREA_SAFETY
Explain how this chatbot works I am scared,GENERAL
Safety level of this location? right now,AREA_SAFETY
Hello,GENERAL
Where should I go to report stalking? right now,HOW_TO_COMPLAIN
Advice for handling domestic abuse? urgently,SAFETY_ADVICE
Best way to respond to intimidation? urgently,SAFETY_ADVICE
Are there harassment cases reported here? immediately,AREA_SAFETY
Procedure to report domestic violence? I am scared,HOW_TO_COMPLAIN
I feel unsafe and threatened urgently,EMERGENCY
Guidance for handling blackmail? urgently,SAFETY_ADVICE
How can I complain anonymously? please,HOW_TO_COMPLAIN
A stranger keeps sending me threatening messages urgently,REPORT_INCIDENT
A neighbor verbally abuses me daily can you help?,REPORT_INCIDENT
How to protect myself at night? please,SAFETY_ADVICE
What section covers verbal abuse? urgently,CHECK_IPC
Best way to respond to intimidation? can you help?,SAFETY_ADVICE
Danger situation happening urgently,EMERGENCY
A stranger keeps sending me threatening messages urgently,REPORT_INCIDENT
IPC section for molestation? please,CHECK_IPC
How do I file an FIR? I am scared,HOW_TO_COMPLAIN
Call police immediately urgently,EMERGENCY
A man has been following me since school urgently,REPORT_INCIDENT
How to protect myself at night? I am scared,SAFETY_ADVICE
What features does this platform provide?,GENERAL
Hello immediately,GENERAL
How to approach police legally? right now,HOW_TO_COMPLAIN
Recent crime statistics here? please,AREA_SAFETY
There is domestic violence happening in my house can you help?,REPORT_INCIDENT
Crime rate in this locality? can you help?,AREA_SAFETY
Someone installed a hidden camera in street,REPORT_INCIDENT
I am in immediate danger please,EMERGENCY
Which IPC deals with assault on women? urgently,CHECK_IPC
A stranger keeps sending me threatening messages,REPORT_INCIDENT
There is violence happening now immediately,EMERGENCY
Danger situation happening please,EMERGENCY
Give me details about this app right now,GENERAL
Safety level of this location? urgently,AREA_SAFETY
How can this system help me? right now,GENERAL
Can I file complaint without visiting police station? immediately,HOW_TO_COMPLAIN
I think someone is stalking me on my way to market can you help?,REPORT_INCIDENT
Under which section can I file for threats? urgently,CHECK_IPC
Safety tips for harassment situations? please,SAFETY_ADVICE
What is the punishment for rape under Indian law? immediately,CHECK_IPC
My husband hit me after an argument,REPORT_INCIDENT
Safety level of this location? I am scared,AREA_SAFETY
Please send help urgently urgently,EMERGENCY
A stranger keeps sending me threatening messages urgently,REPORT_INCIDENT
Precautions against sexual harassment? I am scared,SAFETY_ADVICE
What features does this platform provide?,GENERAL
Advice for handling domestic abuse? urgently,SAFETY_ADVICE
How can this system help me? I am scared,GENERAL
Explain how this chatbot works right now,GENERAL
A neighbor verbally abuses me daily please,REPORT_INCIDENT
How to protect myself at night? urgently,SAFETY_ADVICE
What can you do?,GENERAL
My husband hit me after an argument can you help?,REPORT_INCIDENT
Can I file complaint without visiting police station? I am scared,HOW_TO_COMPLAIN
How can this system help me? urgently,GENERAL
Crime rate in this locality? right now,AREA_SAFETY
Precautions against sexual harassment? I am scared,SAFETY_ADVICE
How secure is this area currently? immediately,AREA_SAFETY
Please send help urgently right now,EMERGENCY
I think someone is stalking me on my way to college right now,REPORT_INCIDENT
How to stay safe while traveling alone? immediately,SAFETY_ADVICE
How do I file an FIR?,HOW_TO_COMPLAIN
Which IPC deals with assault on women? immediately,CHECK_IPC
There is domestic violence happening in my house immediately,REPORT_INCIDENT
My husband hit me after an argument right now,REPORT_INCIDENT
Please send help urgently urgently,EMERGENCY
Which IPC deals with assault on women? right now,CHECK_IPC
Guidance for handling blackmail?,SAFETY_ADVICE
Recent crime statistics here? right now,AREA_SAFETY
Do I need proof to file FIR? I am scared,HOW_TO_COMPLAIN
My husband hit me after an argument urgently,REPORT_INCIDENT
Safety level of this location? urgently,AREA_SAFETY
What to do during a threat situation? can you help?,SAFETY_ADVICE
Give me details about this app,GENERAL
Crime rate in this locality? urgently,AREA_SAFETY
Do I need proof to file FIR?,HOW_TO_COMPLAIN
Who are you? can you help?,GENERAL
I am in immediate danger I am scared,EMERGENCY
Give me details about this app right now,GENERAL
Is this area safe at night? please,AREA_SAFETY
I feel unsafe and threatened immediately,EMERGENCY
What features does this platform provide? I am scared,GENERAL
Is this area safe at night? please,AREA_SAFETY
What documents are required to file FIR? please,HOW_TO_COMPLAIN
How to approach police legally? I am scared,HOW_TO_COMPLAIN
Crime rate in this locality?,AREA_SAFETY
Best way to respond to intimidation? can you help?,SAFETY_ADVICE
What is the punishment for rape under Indian law? urgently,CHECK_IPC
I am in immediate danger immediately,EMERGENCY
Crime rate in this locality? please,AREA_SAFETY
Hi there right now,GENERAL
My husband hit me after an argument right now,REPORT_INCIDENT
Precautions against sexual harassment? immediately,SAFETY_ADVICE
Precautions against sexual harassment? right now,SAFETY_ADVICE
What features does this platform provide? right now,GENERAL
What section covers verbal abuse? immediately,CHECK_IPC
Is there a law against hidden camera recording? please,CHECK_IPC
I need police support immediately I am scared,EMERGENCY
Is sexual harassment punishable under IPC? urgently,CHECK_IPC
Who are you? urgently,GENERAL
Give me details about this app urgently,GENERAL
Hello urgently,GENERAL
Precautions against sexual harassment? can you help?,SAFETY_ADVICE
Danger situation happening I am scared,EMERGENCY
Is this neighborhood dangerous for women? right now,AREA_SAFETY
Please send help urgently urgently,EMERGENCY
What documents are required to file FIR? can you help?,HOW_TO_COMPLAIN
There is violence happening now right now,EMERGENCY
Where should I go to report stalking? I am scared,HOW_TO_COMPLAIN
Which IPC deals with assault on women? right now,CHECK_IPC
Is there a law against hidden camera recording?,CHECK_IPC
How to approach police legally? I am scared,HOW_TO_COMPLAIN
Who are you? right now,GENERAL
How to protect myself at night? right now,SAFETY_ADVICE
My husband hit me after an argument immediately,REPORT_INCIDENT
I feel unsafe and threatened can you help?,EMERGENCY
I am being blackmailed with my photos,REPORT_INCIDENT
Please send help urgently,EMERGENCY
How to protect myself at night? right now,SAFETY_ADVICE
What can you do?,GENERAL
How secure is this area currently? urgently,AREA_SAFETY
There is violence happening now I am scared,EMERGENCY
He tried to force himself on me near school right now,REPORT_INCIDENT
How to approach police legally? can you help?,HOW_TO_COMPLAIN
I am in immediate danger immediately,EMERGENCY
A stranger keeps sending me threatening messages I am scared,REPORT_INCIDENT
Precautions against sexual harassment? please,SAFETY_ADVICE
Safety tips for harassment situations? right now,SAFETY_ADVICE
Someone touched me inappropriately at street please,REPORT_INCIDENT
Precautions against sexual harassment?,SAFETY_ADVICE
He tried to force himself on me near college urgently,REPORT_INCIDENT
Do I need proof to file FIR? right now,HOW_TO_COMPLAIN
Under which section can I file for threats? immediately,CHECK_IPC
Is this a high crime zone? I am scared,AREA_SAFETY
What can you do? please,GENERAL
Is sexual harassment punishable under IPC? immediately,CHECK_IPC
Who are you? immediately,GENERAL
Advice for handling domestic abuse? right now,SAFETY_ADVICE
Call police immediately please,EMERGENCY
How secure is this area currently? right now,AREA_SAFETY
How do I file an FIR? can you help?,HOW_TO_COMPLAIN
How secure is this area currently? I am scared,AREA_SAFETY
Call police immediately,EMERGENCY
Recent crime statistics here? immediately,AREA_SAFETY
Procedure to report domestic violence? I am scared,HOW_TO_COMPLAIN
How to approach police legally? can you help?,HOW_TO_COMPLAIN
Where should I go to report stalking? right now,HOW_TO_COMPLAIN
What features does this platform provide?,GENERAL
Is there a law against hidden camera recording? immediately,CHECK_IPC
Can I file complaint without visiting police station? urgently,HOW_TO_COMPLAIN
Precautions against sexual harassment?,SAFETY_ADVICE
Who are you? urgently,GENERAL
I think someone is stalking me on my way to college immediately,REPORT_INCIDENT
Guidance for handling blackmail? can you help?,SAFETY_ADVICE
Where should I go to report stalking? immediately,HOW_TO_COMPLAIN
How does this system function? please,GENERAL
Advice for handling domestic abuse? immediately,SAFETY_ADVICE
Steps to report harassment? I am scared,HOW_TO_COMPLAIN
A man has been following me since metro station can you help?,REPORT_INCIDENT
Is this area safe at night? immediately,AREA_SAFETY
Steps to report harassment?,HOW_TO_COMPLAIN
Do I need proof to file FIR? I am scared,HOW_TO_COMPLAIN
Is this neighborhood dangerous for women? please,AREA_SAFETY
Punishment for criminal intimidation? urgently,CHECK_IPC
I need police support immediately urgently,EMERGENCY
What can you do? urgently,GENERAL
What features does this platform provide? can you help?,GENERAL
Do I need proof to file FIR? can you help?,HOW_TO_COMPLAIN
I am being blackmailed with my photos,REPORT_INCIDENT
Under which section can I file for threats? can you help?,CHECK_IPC
What to do during a threat situation? can you help?,SAFETY_ADVICE
Give me details about this app urgently,GENERAL
Someone installed a hidden camera in college urgently,REPORT_INCIDENT
Help me right now right now,EMERGENCY
How can I complain anonymously? immediately,HOW_TO_COMPLAIN
Recent crime statistics here?,AREA_SAFETY
Advice for handling domestic abuse? right now,SAFETY_ADVICE
I think someone is stalking me on my way to school urgently,REPORT_INCIDENT
Emergency assistance needed I am scared,EMERGENCY
I am being blackmailed with my photos I am scared,REPORT_INCIDENT
Procedure to report domestic violence?,HOW_TO_COMPLAIN
Which IPC section applies for stalking?,CHECK_IPC
How to approach police legally?,HOW_TO_COMPLAIN
A stranger keeps sending me threatening messages immediately,REPORT_INCIDENT
Is there a law against hidden camera recording? right now,CHECK_IPC
What documents are required to file FIR? right now,HOW_TO_COMPLAIN
Call police immediately right now,EMERGENCY
Safety tips for harassment situations? can you help?,SAFETY_ADVICE
